title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Investigating and quantifying molecular complexity using assembly theory and spectroscopy,"…, M Swart, R Mollfulleda, L Cronin",2024,37,"… of different substructures increases with molecular complexity, we hypothesize … complexity of organic molecules. Moreover, IR has previously been used to fingerprint complex molecular …",YQKYwMEADesJ,"…, M Swart, R Mollfulleda, L Cronin - ACS Central …, 2024 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acscentsci.4c00120,unknown,unknown
Assembly theory explains and quantifies selection and evolution,"…, M Lachmann, CP Kempes, SI Walker, L Cronin",2023,239,"… We present assembly theory (AT) as a framework that does not alter the laws of physics, but … We introduce a measure called assembly (A), capturing the degree of causation required to …",FnvACpo4FjYJ,"…, M Lachmann, CP Kempes, SI Walker, L Cronin - Nature, 2023 - nature.com",[],https://www.nature.com/articles/s41586-023-06600-9,unknown,unknown
Identifying molecules as biosignatures with assembly theory and mass spectrometry,"…, PS Gromski, DG Moore, SI Walker, L Cronin",2021,221,"… assembly theory and its application to molecular complexity. The concept of molecular complexity … structural, topological, or graph theoretical complexity. However, all these metrics have …",xt3FtctG7hYJ,"…, PS Gromski, DG Moore, SI Walker, L Cronin - Nature …, 2021 - nature.com",[],https://www.nature.com/articles/s41467-021-23258-x,unknown,unknown
Assembly theory and its relationship with computational complexity,"…, M Redwan Chowdhury, SI Walker, L Cronin",2025,14,… While many kinds of measures of molecular complexity computed on graphs have been … a precise conjecture on the relationship between molecular complexity and life and allow an …,dmxUY_8zRxwJ,"…, M Redwan Chowdhury, SI Walker, L Cronin - npj Complexity, 2025 - nature.com",[],https://www.nature.com/articles/s44260-025-00049-9,unknown,unknown
Experimentally measured assembly indices are required to determine the threshold for life,"SI Walker, C Mathis, S Marshall…",2024,14,"… Assembly theory has been designed so that both the AI and abundance can be measured for organic molecules … Assembly theory, as a theory, has a more fundamental application in …",4AcOYVGj7-0J,"SI Walker, C Mathis, S Marshall… - Journal of the Royal …, 2024 - royalsocietypublishing.org",[],https://royalsocietypublishing.org/rsif/article/21/220/20240367/90651,unknown,unknown
Assembly theory explains and quantifies the emergence of selection and evolution,"…, M Lachmann, CP Kempes, SI Walker, L Cronin",2022,8,… develop a new understanding of complex matter that naturally accounts for … assembly theory as applied to molecules as the major application in this paper because their assembly index …,-VxZfmHt4VkJ,"…, M Lachmann, CP Kempes, SI Walker, L Cronin - arXiv preprint arXiv …, 2022 - arxiv.org",[],https://arxiv.org/abs/2206.02279,unknown,unknown
Formalising the pathways to life using assembly spaces,"…, DG Moore, ARG Murray, SI Walker, L Cronin",2022,58,"… molecular complexity, this notion was explored through the construction of a probabilistic model, in which steps through an assembly … of the use of assembly theory in systems of varying …",uk9XY8SYqKMJ,"…, DG Moore, ARG Murray, SI Walker, L Cronin - Entropy, 2022 - mdpi.com",[],https://www.mdpi.com/1099-4300/24/7/884,unknown,unknown
Constructing the molecular tree of life using assembly theory and mass spectrometry,"…, E Carrick, M Jirasek, S Walker, L Cronin",2024,4,"… We hypothesize that Assembly Theory (AT) in conjunction with mass spectrometry (MS) … the advent of Assembly Theory, we now have a more general framework within which to study …",r5-nbnHYli4J,"…, E Carrick, M Jirasek, S Walker, L Cronin - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2408.09305,unknown,unknown
Rapid exploration of the assembly chemical space of molecular graphs,"…, G Siebert, SI Walker, L Cronin",2025,4,"… Assembly theory offers a different perspective: the molecular Assembly Index (MA) … Unlike most other molecular complexity metrics such as the well-known Bertz, (41) Bottcher, …",Sxtu38D5C2oJ,"…, G Siebert, SI Walker, L Cronin - Journal of Chemical …, 2025 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.jcim.5c01964,unknown,unknown
Determining molecular complexity using assembly theory and spectroscopy,"…, GJT Cooper, M Swart, R Mollfulleda, L Cronin",2023,6,"… In order to address the molecular complexity of organic molecules, and given that we try to address the molecular complexity through carbon-sensitive 13C NMR, hence, a relatively …",0KE5kHH1ehQJ,"…, GJT Cooper, M Swart, R Mollfulleda, L Cronin - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2302.13753,unknown,unknown
