t,kid_k,c_parameter,mean_ai,max_ai,entropy_production,eta_toast
0,20.0,2.0,0.0,0,0.0,0.8888888888888888
100,20.46,2.0460000000000003,0.0,0,0.0,0.8820756282848802
200,20.9,2.09,0.0,0,0.0,0.8755668667064651
300,21.4,2.1399999999999997,0.0,0,0.0,0.8681893788794677
400,21.82,2.182,0.0,0,0.0,0.8620141343454164
500,22.26,2.226,0.0,0,0.0,0.8555717283125442
600,22.7,2.27,0.0,0,0.0,0.8491615932067073
700,23.24,2.324,0.0,0,0.0,0.8413449354944748
800,23.7,2.37,0.0,0,0.0,0.8347348308077027
900,23.98,2.398,0.0,0,0.0,0.8307348331134091
1000,24.46,2.446,0.0,0,0.0,0.8239216176350216
1100,24.9,2.4899999999999998,0.0,0,0.0,0.8177272764591424
1200,25.28,2.528,0.0,0,0.0,0.8124186938569834
1300,25.66,2.566,0.0,0,0.0,0.8071494695492955
1400,26.1,2.6100000000000003,0.0,0,0.0,0.8010988252085236
1500,26.64,2.664,0.0,0,0.0,0.7937491657291051
1600,27.0,2.7,0.0,0,0.0,0.7888970051132214
1700,27.32,2.732,0.0,0,0.0,0.7846164627008497
1800,27.68,2.768,0.0,0,0.0,0.7798378117660847
1900,28.02,2.802,0.0,0,0.0,0.7753609011674965
2000,28.5,2.85,0.0,0,0.0,0.7691010288412885
2100,28.9,2.8899999999999997,0.0,0,0.0,0.7639389113209667
2200,29.38,2.9379999999999997,0.0,0,0.0,0.7578100476120343
2300,29.78,2.978,0.0,0,0.0,0.7527575622686971
2400,30.2,3.02,0.0,0,0.0,0.7475062498453011
2500,30.54,3.054,0.0,0,0.0,0.7432955544159763
2600,30.98,3.098,0.0,0,0.0,0.7378999766815986
2700,31.28,3.128,0.0,0,0.0,0.7342557538609459
2800,31.76,3.176,0.0,0,0.0,0.728483140294476
2900,32.24,3.224,0.0,0,0.0,0.722781795224977
3000,32.6,3.2600000000000002,0.0,0,0.0,0.7185523154576915
3100,33.02,3.3020000000000005,0.0,0,0.0,0.7136680397536007
3200,33.5,3.35,0.0,0,0.0,0.7081516712907916
3300,33.74,3.374,0.0,0,0.0,0.7054195835264664
3400,34.12,3.412,0.0,0,0.0,0.7011291220104404
3500,34.52,3.4520000000000004,0.0,0,0.0,0.696659344881895
3600,34.78,3.478,0.0,0,0.0,0.6937793841401396
3700,35.06,3.5060000000000002,0.0,0,0.0,0.6907001149919159
3800,35.36,3.536,0.0,0,0.0,0.6874263194075071
3900,35.86,3.586,0.0,0,0.0,0.6820279547777045
4000,36.4,3.6399999999999997,0.0,0,0.0,0.6762782401902497
4100,36.82,3.682,0.0,0,0.0,0.6718633588314175
4200,37.08,3.7079999999999997,0.0,0,0.0,0.6691551248836918
4300,37.34,3.7340000000000004,0.0,0,0.0,0.6664656917419476
4400,37.76,3.776,0.0,0,0.0,0.6621606076165305
4500,38.16,3.816,0.0,0,0.0,0.6581053189258398
4600,38.7,3.87,0.0,0,0.0,0.6526991301561333
4700,39.08,3.908,0.0,0,0.0,0.6489413355704209
4800,39.56,3.9560000000000004,0.0,0,0.0,0.6442488898269256
4900,39.92,3.992,0.0,0,0.0,0.6407688198553583
5000,40.18,4.018,0.0,0,0.0,0.6382761397351361
5100,40.6,4.0600000000000005,0.0,0,0.0,0.6342858035588745
5200,41.1,4.11,0.0,0,0.0,0.6295931771094627
5300,41.48,4.148,0.0,0,0.0,0.6260682251358243
5400,41.82,4.182,0.0,0,0.0,0.6229442801515384
5500,42.12,4.212,0.0,0,0.0,0.6202111073742689
5600,42.54,4.254,0.0,0,0.0,0.6164208783809142
5700,42.88,4.288,0.0,0,0.0,0.6133831974201286
5800,43.14,4.314,0.0,0,0.0,0.6110785394571316
5900,43.66,4.366,0.0,0,0.0,0.6065161730468713
6000,44.14,4.414,0.0,0,0.0,0.6023595737302992
6100,44.5,4.45,0.0,0,0.0,0.5992761552057908
6200,44.9,4.49,0.0,0,0.0,0.595883888905478
6300,45.28,4.5280000000000005,0.0,0,0.0,0.5926937406933469
6400,45.52,4.5520000000000005,0.0,0,0.0,0.5906950477123802
6500,45.86,4.586,0.0,0,0.0,0.587884728957066
6600,46.3,4.63,0.0,0,0.0,0.5842842675466686
6700,46.72,4.672,0.0,0,0.0,0.5808852930586197
6800,47.12,4.712,0.0,0,0.0,0.5776820532134423
6900,47.48,4.747999999999999,0.0,0,0.0,0.5748270313016806
7000,47.86,4.786,0.0,0,0.0,0.5718417066643217
7100,48.3,4.83,0.0,0,0.0,0.5684208668124006
7200,48.76,4.8759999999999994,0.0,0,0.0,0.5648850929187321
7300,49.12,4.912,0.0,0,0.0,0.5621464840209405
7400,49.7,4.970000000000001,0.0,0,0.0,0.5577861389583315
7500,50.0,5.0,0.0,0,0.0,0.5555555555555556
7600,50.46,5.046,0.0,0,0.0,0.5521676409846705
7700,50.86,5.086,0.0,0,0.0,0.5492530169768427
7800,51.36,5.136,0.0,0,0.0,0.5456501821383707
7900,51.72,5.172,0.0,0,0.0,0.5430835806890735
8000,52.14,5.214,0.0,0,0.0,0.5401178376764615
8100,52.4,5.24,0.0,0,0.0,0.5382971729125575
8200,52.78,5.2780000000000005,0.0,0,0.0,0.5356569627641279
8300,53.22,5.322,0.0,0,0.0,0.5326303120290883
8400,53.58,5.358,0.0,0,0.0,0.530177940105329
8500,53.94,5.394,0.0,0,0.0,0.5277468740488155
8600,54.34,5.434,0.0,0,0.0,0.525070370928301
8700,54.76,5.476,0.0,0,0.0,0.5222876427659346
8800,55.1,5.51,0.0,0,0.0,0.5200554033614834
8900,55.38,5.538,0.0,0,0.0,0.5182306680449967
9000,55.76,5.576,0.0,0,0.0,0.5157736456686853
9100,56.08,5.608,0.0,0,0.0,0.513721719655975
9200,56.48,5.648,0.0,0,0.0,0.5111785924777101
