t,kid_k,c_parameter,I_predict,W_cost,eta_thermo,eta_toast,magnetization,correlation_length,energy
0,0.0025023141165571696,0.0005004628233114339,0.12511570582785847,0.1,1.2511570582785847,0.0019998490921117875,0.2,1,2.0
50,0.0004070961834349518,8.141923668699036e-05,0.02035480917174759,16.01,0.0012713809601341405,0.0003256239204872643,0.13333333333333333,2,-10.0
100,0.004689732336761376,0.0009379464673522752,0.23448661683806882,4.01,0.058475465545653076,0.0037447578102640217,0.26666666666666666,2,6.0
150,0.003155451484963767,0.0006310902969927535,0.15777257424818836,4.01,0.03934478160802703,0.0025211780019009557,0.2,2,2.0
200,4.808992375249233e-06,9.617984750498465e-07,0.00024044961876246163,4.01,5.996249844450415e-05,3.8471864997596094e-06,0.06666666666666667,2,-2.0
250,0.001390540978086241,0.0002781081956172482,0.06952704890431205,12.01,0.005789096494946882,0.0011118142871461218,0.2,1,2.0
300,0.003668476506136731,0.0007336953012273462,0.18342382530683654,0.01,18.342382530683654,0.002930479469372469,0.2,1,-2.0
350,0.00038958611123383056,7.791722224676611e-05,0.01947930556169153,8.01,0.002431873353519542,0.00031162032591480646,0.06666666666666667,2,6.0
400,0.0022874369045100982,0.00045748738090201963,0.11437184522550492,4.01,0.02852165716346756,0.0018282763142743637,0.2,2,-2.0
450,0.0016647834507780956,0.0003329566901556191,0.08323917253890478,20.01,0.004159878687601438,0.0013309403221053373,0.2,1,6.0
500,0.0033052877498835898,0.000661057549976718,0.1652643874941795,12.01,0.013760565153553663,0.002640737686741545,0.2,2,-2.0
550,1.923593530461787e-07,3.847187060923574e-08,9.617967652308934e-06,12.01,8.008299460706857e-07,1.5388747059626502e-07,0.06666666666666667,2,6.0
600,0.010666932944788422,0.0021333865889576844,0.533346647239421,4.01,0.13300415143127708,0.008497251835743945,0.3333333333333333,1,2.0
650,0.004629692883392478,0.0009259385766784955,0.2314846441696239,4.01,0.05772684393257454,0.003696904923361561,0.4,5,-6.0
700,0.001700801345413372,0.0003401602690826744,0.0850400672706686,0.01,8.504006727066859,0.0013597158763625624,0.06666666666666667,1,-2.0
750,0.012078746009308316,0.0024157492018616633,0.6039373004654158,4.01,0.1506078056023481,0.009616478685755561,0.3333333333333333,3,-6.0
800,0.006889565766506145,0.001377913153301229,0.34447828832530725,0.01,34.447828832530725,0.005496494792371521,0.3333333333333333,0,-2.0
